replicate,C0-R@42,C0-R@1337,C0-R@20260703,C1-M@42,C1-M@1337,C1-M@20260703,C4-M@42,C4-M@1337,C4-M@20260703,C4MixFT-M@42,C4MixFT-M@1337,C4Mix-M@42,C4Mix-M@1337,C4R-M@42,C4R-M@1337
482,0.417666,0.413243,0.405958,0.416460,0.429169,0.399483,0.413065,0.394309,0.419895,0.410234,0.417338,0.404805,0.421820,0.426838,0.406941
483,0.416223,0.411629,0.422038,0.416717,0.421170,0.404429,0.424162,0.386189,0.411256,0.404706,0.408699,0.401609,0.414826,0.422100,0.399212
488,0.406701,0.408917,0.403985,0.417481,0.426940,0.397875,0.429671,0.389635,0.413907,0.405394,0.406881,0.397284,0.418975,0.433070,0.400589
489,0.409594,0.400046,0.413298,0.413941,0.412306,0.398104,0.409816,0.392167,0.412229,0.410650,0.403686,0.398425,0.405493,0.422866,0.381747
490,0.405179,0.398419,0.414734,0.414620,0.405386,0.409624,0.408480,0.388071,0.407182,0.406958,0.405503,0.379697,0.418781,0.416047,0.381331
491,0.440074,0.423075,0.427350,0.433136,0.432271,0.429219,0.438271,0.404285,0.426058,0.427322,0.438988,0.420857,0.440131,0.438632,0.409433
496,0.413085,0.402346,0.423904,0.429489,0.416492,0.412909,0.421608,0.405891,0.417449,0.417943,0.420362,0.403409,0.415829,0.424447,0.398783
497,0.404872,0.396152,0.392239,0.406828,0.393507,0.386716,0.406797,0.366203,0.402576,0.395699,0.387005,0.373115,0.398126,0.405832,0.387068
498,0.439854,0.425314,0.435755,0.435588,0.444590,0.425074,0.426045,0.413346,0.430466,0.430375,0.436545,0.413475,0.433146,0.450148,0.421405
499,0.406866,0.405426,0.399160,0.404215,0.403079,0.378111,0.400365,0.386458,0.407251,0.395813,0.395286,0.377020,0.388745,0.405987,0.375727
492,0.405114,0.400743,0.402724,0.411203,0.423588,0.403296,0.409035,0.387735,0.411407,0.410415,0.413855,0.391267,0.420508,0.415358,0.398191
493,0.396467,0.379266,0.400009,0.395015,0.409743,0.386899,0.405649,0.379216,0.402740,0.401729,0.407580,0.385806,0.402429,0.411214,0.376224
494,0.408165,0.413834,0.420116,0.417347,0.425182,0.410063,0.408170,0.392976,0.421290,0.412579,0.411340,0.397088,0.413916,0.418377,0.392087
495,0.405335,0.407542,0.414732,0.421428,0.426582,0.405487,0.419601,0.393321,0.411864,0.423483,0.419046,0.403540,0.419980,0.422008,0.391085
500,0.382393,0.396118,0.394544,0.394805,0.405122,0.378844,0.391015,0.370359,0.396289,0.394298,0.392872,0.375336,0.404921,0.402306,0.370538
501,0.410592,0.409042,0.416229,0.415163,0.413216,0.406240,0.414776,0.380051,0.409748,0.412933,0.408441,0.393053,0.427356,0.414263,0.394943
502,0.411334,0.399950,0.406895,0.422703,0.413280,0.387173,0.423081,0.388582,0.409092,0.409908,0.407393,0.394780,0.410985,0.417298,0.402117
